assay,runs,tasks,valley_tasks,mean_regret_delta_lookahead_minus_greedy,bootstrap_ci95,paired_lookahead_better_fraction,valley_mean_regret_delta,valley_bootstrap_ci95,graph_nodes,graph_edges,largest_component_fraction,max_mutation_depth,local_maxima,improving_neighbor_fraction
A4_HUMAN_Seuma_2022,3,150,22,-0.359277804214622,"[-0.4772288317461787, -0.24939864447803248]",0.3933333333333333,-1.5697214031400095,"[-1.823054774857488, -1.3091160693266217]",14811,28030,0.9633380595503342,2,997,0.8960232259806901
D7PM05_CLYGR_Somermeyer_2022,3,150,36,-740.7480936693153,"[-1920.7096188804114, 285.19098079143146]",0.43333333333333335,-5324.287291879271,"[-8613.300683526564, -2520.5524386910697]",24515,20513,0.49076075871915154,23,1213,0.44164797063022637
F7YBW8_MESOW_Aakre_2015,3,150,14,-0.048835673333333336,"[-0.08839033333333333, -0.015169520000000013]",0.32,-0.5485051428571429,"[-0.825977, -0.2776728571428572]",9192,32428,1.0,4,357,0.9611618798955613
GCN4_YEAST_Staller_2018,3,150,51,0.027638481930000014,"[-0.02730441019333333, 0.08128942234444447]",0.36,-0.16565805065032677,"[-0.27410702447385615, -0.0733220565326797]",2638,144,0.021607278241091737,44,41,0.029567854435178165
