dataset,assay,seed,task_type,start_state,budget,horizon,beam_width,tasks,valley_required_tasks,random_mean_terminal,greedy_mean_terminal,beam_mean_terminal,lookahead_mean_terminal,oracle_mean_terminal,random_mean_regret,greedy_mean_regret,beam_mean_regret,lookahead_mean_regret,oracle_mean_regret,random_valley_success,greedy_valley_success,beam_valley_success,lookahead_valley_success,oracle_valley_success,code_version,phase,task_id,method,surrogate,initial_observation_count,initial_observation_nodes,requested_budget,actual_budget,candidate_pool_size,budget_fraction,fraction_of_pool_queried,best_fitness_discovered,terminal_fitness,normalized_regret,normalized_regret_na_reason,top1_reached,top5_reached,queries_to_threshold,queries_to_threshold_na_reason,auc_best_fitness,valley_crossing_success,valley_crossing_success_na_reason,valley_required,surrogate_R2,surrogate_spearman,runtime,ridge_alpha,queried_nodes,planning_semantics,reference_semantics,calibration_best_fitness,top1_threshold,top5_threshold,calibration_top1_reached,calibration_top5_reached,policy_top1_reached,policy_top5_reached,queries_to_top1_after_calibration,queries_to_top1_na_reason,queries_to_top5_after_calibration,queries_to_top5_na_reason,auc_best_fitness_raw,normalized_auc_best_fitness,normalized_auc_na_reason,target_fitness_reached,target_fitness_reached_na_reason,strict_downhill_target_path_observed,strict_downhill_target_path_na_reason,surrogate_in_sample_R2,surrogate_in_sample_spearman,surrogate_diagnostic_scope
ProteinGym,F7YBW8_MESOW_Aakre_2015,1,closed_pool_partial_observation,34,,3,4,,,,,,,,,,,,,,,,,,phase06-smoke-v3,06_partial_observation_smoke,F7YBW8_MESOW_Aakre_2015:s1:t000,CLAIRVOYANT_REFERENCE,binary_mutation_features_kernel_ridge,5,"[34,59,84,109,134]",50,50,9192,0.005442473059758354,0.005439512619669277,1.203698,1.008811,0.0,,,,,,,,,True,,,0.08638215437531471,1.0,"[209,6,200,190,15,385,187,12,390,342,189,14,193,18,191,16,192,17,433,389,438,26,358,392,374,21,449,406,440,401,205,30,25,71,198,23,199,24,417,76,65,195,20,337,28,46,1,81,31,78]",not_applicable,clairvoyant_path_to_global_pool_best_not_finite_budget_optimal,0.300827,0.8944976800000007,0.14837639999999877,False,True,True,False,3,,,threshold_reached_during_calibration,58.52093850000001,0.9631406590753275,,True,,True,,,,not_applicable
ProteinGym,F7YBW8_MESOW_Aakre_2015,1,closed_pool_partial_observation,34,,3,4,,,,,,,,,,,,,,,,,,phase06-smoke-v3,06_partial_observation_smoke,F7YBW8_MESOW_Aakre_2015:s1:t000,CLAIRVOYANT_REFERENCE,binary_mutation_features_kernel_ridge,5,"[34,59,84,109,134]",100,100,9192,0.010884946119516709,0.010879025239338555,1.203698,0.928388,0.0,,,,,,,,,True,,,0.17258606478571892,1.0,"[209,6,200,190,15,385,187,12,390,342,189,14,193,18,191,16,192,17,433,389,438,26,358,392,374,21,449,406,440,401,205,30,25,71,198,23,199,24,417,76,65,195,20,337,28,46,1,81,31,78,72,22,787,341,101,62,262,9,237,8,100,162,5,271,456,394,51,75,137,4,0,171,54,29,146,422,312,11,96,196,437,74,251,204,453,405,80,176,276,301,68,178,835,326,175,79,296,69,250,151]",not_applicable,clairvoyant_path_to_global_pool_best_not_finite_budget_optimal,0.300827,0.8944976800000007,0.14837639999999877,False,True,True,False,3,,,threshold_reached_during_calibration,118.70583849999998,0.9815703295376638,,True,,True,,,,not_applicable
ProteinGym,GCN4_YEAST_Staller_2018,1,closed_pool_partial_observation,3,,3,4,,,,,,,,,,,,,,,,,,phase06-smoke-v3,06_partial_observation_smoke,GCN4_YEAST_Staller_2018:s1:t001,RANDOM,binary_mutation_features_kernel_ridge,5,"[3,42,101,108,127]",10,10,57,0.19230769230769232,0.17543859649122806,1.81087231,1.696924619,0.13445311272284066,,,,,,,,,True,,,0.004898842424154282,1.0,"[284,285,128,41,333,38,106,718,279,107]",not_applicable,not_applicable,1.81087231,1.82089623732,1.7764452769999999,False,True,False,False,,top1_threshold_not_reached,,threshold_reached_during_calibration,18.1087231,0.0,,True,,True,,-0.16858588637495542,0.42857142857142855,observed_training_set_in_sample
ProteinGym,GCN4_YEAST_Staller_2018,1,closed_pool_partial_observation,3,,3,4,,,,,,,,,,,,,,,,,,phase06-smoke-v3,06_partial_observation_smoke,GCN4_YEAST_Staller_2018:s1:t001,RANDOM,binary_mutation_features_kernel_ridge,5,"[3,42,101,108,127]",20,20,57,0.38461538461538464,0.3508771929824561,1.81087231,1.4768082619999998,0.13445311272284066,,,,,,,,,True,,,0.011048994958400726,1.0,"[284,285,128,41,333,38,106,718,279,107,719,40,308,102,1334,100,109,286,307,99]",not_applicable,not_applicable,1.81087231,1.82089623732,1.7764452769999999,False,True,False,False,,top1_threshold_not_reached,,threshold_reached_during_calibration,36.2174462,0.0,,True,,True,,-0.45448006973361177,0.14782608695652172,observed_training_set_in_sample
ProteinGym,GCN4_YEAST_Staller_2018,1,closed_pool_partial_observation,3,,3,4,,,,,,,,,,,,,,,,,,phase06-smoke-v3,06_partial_observation_smoke,GCN4_YEAST_Staller_2018:s1:t001,RANDOM,binary_mutation_features_kernel_ridge,5,"[3,42,101,108,127]",50,50,57,0.9615384615384616,0.8771929824561403,1.833653963,1.405978409,0.0,,,,,,,,,True,,,0.08603322505950928,1.0,"[284,285,128,41,333,38,106,718,279,107,719,40,308,102,1334,100,109,286,307,99,280,139,281,283,359,715,36,45,775,772,773,717,138,1367,1331,716,150,713,714,1330,1333,1,1332,282,774,44,332,1631,309,111]",not_applicable,not_applicable,1.81087231,1.82089623732,1.7764452769999999,False,True,True,False,37,,,threshold_reached_during_calibration,90.8511678155,0.27,,True,,True,,-0.03327271887767114,0.3127501429388221,observed_training_set_in_sample
ProteinGym,GCN4_YEAST_Staller_2018,1,closed_pool_partial_observation,3,,3,4,,,,,,,,,,,,,,,,,,phase06-smoke-v3,06_partial_observation_smoke,GCN4_YEAST_Staller_2018:s1:t001,RANDOM,binary_mutation_features_kernel_ridge,5,"[3,42,101,108,127]",100,52,57,1.0,0.9122807017543859,1.833653963,1.6312888419999998,0.0,,,,,,,,,True,,,0.08933485299348831,1.0,"[284,285,128,41,333,38,106,718,279,107,719,40,308,102,1334,100,109,286,307,99,280,139,281,283,359,715,36,45,775,772,773,717,138,1367,1331,716,150,713,714,1330,1333,1,1332,282,774,44,332,1631,309,111,110,826]",not_applicable,not_applicable,1.81087231,1.82089623732,1.7764452769999999,False,True,True,False,37,,,threshold_reached_during_calibration,94.51847574150001,0.2980769230769231,,True,,True,,-0.016013007569922744,0.34121667805878336,observed_training_set_in_sample
ProteinGym,GCN4_YEAST_Staller_2018,1,closed_pool_partial_observation,3,,3,4,,,,,,,,,,,,,,,,,,phase06-smoke-v3,06_partial_observation_smoke,GCN4_YEAST_Staller_2018:s1:t001,SURROGATE_GREEDY,binary_mutation_features_kernel_ridge,5,"[3,42,101,108,127]",10,10,57,0.19230769230769232,0.17543859649122806,1.81087231,1.750974591,0.13445311272284066,,,,,,,,,True,,,0.004619073122739792,1.0,"[285,719,284,1332,715,1331,1631,1334,716,282]",not_applicable,not_applicable,1.81087231,1.82089623732,1.7764452769999999,False,True,False,False,,top1_threshold_not_reached,,threshold_reached_during_calibration,18.1087231,0.0,,True,,True,,0.21250925872829818,0.6483516483516484,observed_training_set_in_sample
ProteinGym,GCN4_YEAST_Staller_2018,1,closed_pool_partial_observation,3,,3,4,,,,,,,,,,,,,,,,,,phase06-smoke-v3,06_partial_observation_smoke,GCN4_YEAST_Staller_2018:s1:t001,SURROGATE_GREEDY,binary_mutation_features_kernel_ridge,5,"[3,42,101,108,127]",20,20,57,0.38461538461538464,0.3508771929824561,1.81087231,1.4852841469999998,0.13445311272284066,,,,,,,,,True,,,0.09122978150844574,1.0,"[285,719,284,1332,715,1331,1631,1334,716,282,286,281,1333,102,718,128,1367,774,775,309]",not_applicable,not_applicable,1.81087231,1.82089623732,1.7764452769999999,False,True,False,False,,top1_threshold_not_reached,,threshold_reached_during_calibration,36.2174462,0.0,,True,,True,,0.03159556822407272,0.23739130434782607,observed_training_set_in_sample
ProteinGym,GCN4_YEAST_Staller_2018,1,closed_pool_partial_observation,3,,3,4,,,,,,,,,,,,,,,,,,phase06-smoke-v3,06_partial_observation_smoke,GCN4_YEAST_Staller_2018:s1:t001,SURROGATE_GREEDY,binary_mutation_features_kernel_ridge,5,"[3,42,101,108,127]",50,50,57,0.9615384615384616,0.8771929824561403,1.833653963,1.324059213,0.0,,,,,,,,,True,,,0.20416728779673576,1.0,"[285,719,284,1332,715,1331,1631,1334,716,282,286,281,1333,102,718,128,1367,774,775,309,111,826,773,333,359,150,139,1330,717,713,772,332,714,283,307,138,100,279,308,280,36,41,107,110,38,106,99,1,40,44]",not_applicable,not_applicable,1.81087231,1.82089623732,1.7764452769999999,False,True,True,False,26,,,threshold_reached_during_calibration,91.10176599850001,0.49,,True,,True,,-0.1056746418667831,0.2502382313703068,observed_training_set_in_sample
ProteinGym,GCN4_YEAST_Staller_2018,1,closed_pool_partial_observation,3,,3,4,,,,,,,,,,,,,,,,,,phase06-smoke-v3,06_partial_observation_smoke,GCN4_YEAST_Staller_2018:s1:t001,SURROGATE_GREEDY,binary_mutation_features_kernel_ridge,5,"[3,42,101,108,127]",100,52,57,1.0,0.9122807017543859,1.833653963,1.273771998,0.0,,,,,,,,,True,,,0.20735108479857445,1.0,"[285,719,284,1332,715,1331,1631,1334,716,282,286,281,1333,102,718,128,1367,774,775,309,111,826,773,333,359,150,139,1330,717,713,772,332,714,283,307,138,100,279,308,280,36,41,107,110,38,106,99,1,40,44,109,45]",not_applicable,not_applicable,1.81087231,1.82089623732,1.7764452769999999,False,True,True,False,26,,,threshold_reached_during_calibration,94.76907392450002,0.5096153846153846,,True,,True,,-0.053574203072338955,0.30259740259740264,observed_training_set_in_sample
