assay,seed,task_id,start_node,start_fitness,best_reachable_fitness,valley_required,minimum_required_drop,minimum_required_drop_na_reason,valley_width,valley_width_na_reason,shortest_oracle_path_length,greedy_terminal_fitness,lookahead_terminal_fitness,oracle_terminal_fitness,greedy_regret,lookahead_regret,normalized_greedy_regret,normalized_lookahead_regret,normalized_regret_na_reason,planning_gain,component_size,start_degree
A4_HUMAN_Seuma_2022,1,A4_HUMAN_Seuma_2022:s1:t019,6762,-0.229902098177385,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,1,A4_HUMAN_Seuma_2022:s1:t020,6788,-0.819624526614706,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,1,A4_HUMAN_Seuma_2022:s1:t021,6929,-0.240273090409214,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,1,A4_HUMAN_Seuma_2022:s1:t022,7458,-3.06049763969152,2.536781801347895,False,0.0,,,not_valley_required,3,2.41199171645006,2.536781801347895,2.536781801347895,0.12479008489783494,0.0,0.022294774847735923,0.0,,0.12479008489783494,14268,2
A4_HUMAN_Seuma_2022,1,A4_HUMAN_Seuma_2022:s1:t023,7633,-1.23495754742226,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,1,A4_HUMAN_Seuma_2022:s1:t024,7840,-1.67614958371517,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,1,A4_HUMAN_Seuma_2022:s1:t025,7907,-1.04769325580618,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,1,A4_HUMAN_Seuma_2022:s1:t026,8280,-3.40924565341646,2.536781801347895,False,0.0,,,not_valley_required,3,2.177050747191775,2.536781801347895,2.536781801347895,0.35973105415612006,0.0,0.060499393400526506,0.0,,0.35973105415612006,14268,2
A4_HUMAN_Seuma_2022,1,A4_HUMAN_Seuma_2022:s1:t027,8536,-2.19345058368439,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,1,A4_HUMAN_Seuma_2022:s1:t028,8660,-1.22672656788017,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,1,A4_HUMAN_Seuma_2022:s1:t029,9187,-1.28583547183878,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,1,A4_HUMAN_Seuma_2022:s1:t030,9413,-0.244087570794518,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,1,A4_HUMAN_Seuma_2022:s1:t031,9868,-3.64371274178587,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,1,A4_HUMAN_Seuma_2022:s1:t032,10228,-2.92099506250611,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,1,A4_HUMAN_Seuma_2022:s1:t033,10495,-1.66834702954786,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,1,A4_HUMAN_Seuma_2022:s1:t034,11185,-0.603083161166105,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,1,A4_HUMAN_Seuma_2022:s1:t035,11218,-0.95547129610766,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,1,A4_HUMAN_Seuma_2022:s1:t036,11790,-2.10987665023553,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,1,A4_HUMAN_Seuma_2022:s1:t037,11943,-0.354201613800358,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,1,A4_HUMAN_Seuma_2022:s1:t038,12364,-3.16856892864843,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,1,A4_HUMAN_Seuma_2022:s1:t039,12435,-1.33939805930727,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,1,A4_HUMAN_Seuma_2022:s1:t040,13010,-0.698238954070885,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,1,A4_HUMAN_Seuma_2022:s1:t041,13032,-2.55346338124674,2.536781801347895,False,0.0,,,not_valley_required,3,2.177050747191775,2.536781801347895,2.536781801347895,0.35973105415612006,0.0,0.0706706732685822,0.0,,0.35973105415612006,14268,2
A4_HUMAN_Seuma_2022,1,A4_HUMAN_Seuma_2022:s1:t042,13055,-1.4921240711654,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,1,A4_HUMAN_Seuma_2022:s1:t043,13056,-1.56604204789763,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,1,A4_HUMAN_Seuma_2022:s1:t044,13112,0.617394142753145,2.536781801347895,True,0.4589160829209222,,1,,3,0.617394142753145,2.536781801347895,2.536781801347895,1.9193876585947502,0.0,1.0,0.0,,1.9193876585947502,14268,2
A4_HUMAN_Seuma_2022,1,A4_HUMAN_Seuma_2022:s1:t045,13465,-0.505476795416296,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,1,A4_HUMAN_Seuma_2022:s1:t046,13680,-4.00077079900606,2.536781801347895,False,0.0,,,not_valley_required,3,1.33437776125163,2.536781801347895,2.536781801347895,1.202404040096265,0.0,0.18392265632113838,0.0,,1.202404040096265,14268,2
A4_HUMAN_Seuma_2022,1,A4_HUMAN_Seuma_2022:s1:t047,13687,-0.44422225129438,2.536781801347895,False,0.0,,,not_valley_required,3,1.65011502580838,2.536781801347895,2.536781801347895,0.886666775539515,0.0,0.2974389701864375,0.0,,0.886666775539515,14268,2
A4_HUMAN_Seuma_2022,1,A4_HUMAN_Seuma_2022:s1:t048,14236,-2.55922884369828,2.536781801347895,False,0.0,,,not_valley_required,3,0.3857717688767375,2.536781801347895,2.536781801347895,2.1510100324711576,0.0,0.4220968483576759,0.0,,2.1510100324711576,14268,2
A4_HUMAN_Seuma_2022,1,A4_HUMAN_Seuma_2022:s1:t049,14427,-0.687685744166674,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,2,A4_HUMAN_Seuma_2022:s2:t000,933,-0.703845325427201,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,2,A4_HUMAN_Seuma_2022:s2:t001,992,0.871327993032803,2.536781801347895,True,0.37249692038447546,,1,,3,0.871327993032803,2.536781801347895,2.536781801347895,1.665453808315092,0.0,1.0,0.0,,1.665453808315092,14268,2
A4_HUMAN_Seuma_2022,2,A4_HUMAN_Seuma_2022:s2:t002,1128,0.607666762582502,2.536781801347895,True,0.013363019690903477,,1,,3,0.607666762582502,2.536781801347895,2.536781801347895,1.929115038765393,0.0,1.0,0.0,,1.929115038765393,14268,2
A4_HUMAN_Seuma_2022,2,A4_HUMAN_Seuma_2022:s2:t003,1131,0.794735205320053,2.65859199551422,False,0.0,,,not_valley_required,2,2.65859199551422,2.65859199551422,2.65859199551422,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,2,A4_HUMAN_Seuma_2022:s2:t004,1469,-4.80845448626118,2.536781801347895,False,0.0,,,not_valley_required,3,1.49852238820575,2.536781801347895,2.536781801347895,1.0382594131421452,0.0,0.14135139735308716,0.0,,1.0382594131421452,14268,2
A4_HUMAN_Seuma_2022,2,A4_HUMAN_Seuma_2022:s2:t005,1933,-0.477566616609705,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,2,A4_HUMAN_Seuma_2022:s2:t006,2043,-4.10846715457644,2.536781801347895,False,0.0,,,not_valley_required,3,1.85218619404473,2.536781801347895,2.536781801347895,0.6845956073031652,0.0,0.10302030997542061,0.0,,0.6845956073031652,14268,2
A4_HUMAN_Seuma_2022,2,A4_HUMAN_Seuma_2022:s2:t007,3137,0.107106231917543,2.91682360268687,False,0.0,,,not_valley_required,2,2.91682360268687,2.91682360268687,2.91682360268687,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,2,A4_HUMAN_Seuma_2022:s2:t008,3237,-0.0777452672914825,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,2,A4_HUMAN_Seuma_2022:s2:t009,3313,0.688039167142401,2.536781801347895,True,0.01213766812235395,,1,,3,0.688039167142401,2.536781801347895,2.536781801347895,1.848742634205494,0.0,1.0,0.0,,1.848742634205494,14268,2
A4_HUMAN_Seuma_2022,2,A4_HUMAN_Seuma_2022:s2:t010,3387,-0.634816518579148,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,2,A4_HUMAN_Seuma_2022:s2:t011,3438,1.32621201333652,2.536781801347895,True,0.10123490779497102,,1,,3,1.32621201333652,2.536781801347895,2.536781801347895,1.210569788011375,0.0,1.0,0.0,,1.210569788011375,14268,2
A4_HUMAN_Seuma_2022,2,A4_HUMAN_Seuma_2022:s2:t012,3450,-1.08627198937173,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,2,A4_HUMAN_Seuma_2022:s2:t013,4019,1.71436448333504,2.75300619865829,True,1.882740404787364,,1,,2,1.71436448333504,2.75300619865829,2.75300619865829,1.03864171532325,0.0,1.0,0.0,,1.03864171532325,14268,2
A4_HUMAN_Seuma_2022,2,A4_HUMAN_Seuma_2022:s2:t014,4321,-3.29693509519843,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,2,A4_HUMAN_Seuma_2022:s2:t015,4411,-2.25968906734355,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,2,A4_HUMAN_Seuma_2022:s2:t016,4664,1.13869784434858,2.536781801347895,True,0.507004445076661,,1,,3,1.13869784434858,2.536781801347895,2.536781801347895,1.398083956999315,0.0,1.0,0.0,,1.398083956999315,14268,2
A4_HUMAN_Seuma_2022,2,A4_HUMAN_Seuma_2022:s2:t017,4937,0.591639715601204,2.536781801347895,False,0.0,,,not_valley_required,3,2.22712545020728,2.536781801347895,2.536781801347895,0.3096563511406152,0.0,0.1591947207402825,0.0,,0.3096563511406152,14268,2
A4_HUMAN_Seuma_2022,2,A4_HUMAN_Seuma_2022:s2:t018,5591,-2.92803317293482,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,2,A4_HUMAN_Seuma_2022:s2:t019,5760,-0.122789206253909,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,2,A4_HUMAN_Seuma_2022:s2:t020,5870,0.956338897928226,2.68771862387149,True,0.26237699235201906,,1,,2,0.956338897928226,2.68771862387149,2.68771862387149,1.7313797259432637,0.0,1.0,0.0,,1.7313797259432637,14268,2
A4_HUMAN_Seuma_2022,2,A4_HUMAN_Seuma_2022:s2:t021,6458,1.77071510456701,3.33024926198835,False,0.0,,,not_valley_required,2,3.33024926198835,3.33024926198835,3.33024926198835,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,2,A4_HUMAN_Seuma_2022:s2:t022,6507,1.92937095150021,3.33024926198835,False,0.0,,,not_valley_required,2,3.33024926198835,3.33024926198835,3.33024926198835,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,2,A4_HUMAN_Seuma_2022:s2:t023,6638,-2.66434334245646,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,2,A4_HUMAN_Seuma_2022:s2:t024,6769,-1.47095992950667,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,2,A4_HUMAN_Seuma_2022:s2:t025,6990,-0.206585424801258,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,2,A4_HUMAN_Seuma_2022:s2:t026,7483,-0.289726052077143,2.536781801347895,False,0.0,,,not_valley_required,3,2.177050747191775,2.536781801347895,2.536781801347895,0.35973105415612006,0.0,0.1272704951872728,0.0,,0.35973105415612006,14268,2
A4_HUMAN_Seuma_2022,2,A4_HUMAN_Seuma_2022:s2:t027,7599,-4.12737075584062,2.536781801347895,False,0.0,,,not_valley_required,3,2.177050747191775,2.536781801347895,2.536781801347895,0.35973105415612006,0.0,0.05398001487347163,0.0,,0.35973105415612006,14268,2
A4_HUMAN_Seuma_2022,2,A4_HUMAN_Seuma_2022:s2:t028,7831,-1.75587385085733,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,2,A4_HUMAN_Seuma_2022:s2:t029,8159,-2.39470373105523,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,2,A4_HUMAN_Seuma_2022:s2:t030,8768,-4.59561704306534,2.536781801347895,False,0.0,,,not_valley_required,3,2.177050747191775,2.536781801347895,2.536781801347895,0.35973105415612006,0.0,0.05043619433003179,0.0,,0.35973105415612006,14268,2
A4_HUMAN_Seuma_2022,2,A4_HUMAN_Seuma_2022:s2:t031,8883,-2.60909543639633,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,2,A4_HUMAN_Seuma_2022:s2:t032,9156,-3.97105769685669,2.536781801347895,False,0.0,,,not_valley_required,3,0.520601166142976,2.536781801347895,2.536781801347895,2.016180635204919,0.0,0.30980798401084614,0.0,,2.016180635204919,14268,2
A4_HUMAN_Seuma_2022,2,A4_HUMAN_Seuma_2022:s2:t033,9458,1.59872454387415,2.536781801347895,True,1.6841736230735789,,1,,3,1.59872454387415,2.536781801347895,2.536781801347895,0.9380572574737451,0.0,1.0,0.0,,0.9380572574737451,14268,2
A4_HUMAN_Seuma_2022,2,A4_HUMAN_Seuma_2022:s2:t034,9726,-4.53608394591407,2.536781801347895,False,0.0,,,not_valley_required,3,1.85218619404473,2.536781801347895,2.536781801347895,0.6845956073031652,0.0,0.09679182834315561,0.0,,0.6845956073031652,14268,2
A4_HUMAN_Seuma_2022,2,A4_HUMAN_Seuma_2022:s2:t035,10065,-3.37311304224724,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,2,A4_HUMAN_Seuma_2022:s2:t036,10470,-0.848105646076237,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
A4_HUMAN_Seuma_2022,2,A4_HUMAN_Seuma_2022:s2:t037,10484,-5.57186332078051,2.536781801347895,False,0.0,,,not_valley_required,3,2.536781801347895,2.536781801347895,2.536781801347895,0.0,0.0,0.0,0.0,,0.0,14268,2
